"artist","title","times_played"
The New Pornographers,Brill Bruisers,21
Arctic Monkeys,Do I Wanna Know?,21
Dan Mangan,Road Regrets,21
Tegan And Sara,Hell,21
Tokyo Police Club,Hot Tonight,21
Grouplove,Tongue Tied,21
Mother Mother,Love Stuck,21
Sloan,The Other Man,21
The Beaches,Let's Go,21
Edward Sharpe & The Magnetic Zeros,Home,21
Tegan and Sara,I'm Not Your Hero,21
Tragically Hip,Ahead By A Century,21
July Talk,Beck + Call,21
Vampire Weekend,A-Punk,21
Oasis,Wonderwall,21
Stars,Fixed,21
Foo Fighters,Everlong,21
Wintersleep,Weighty Ghost,20
Sam Roberts,Them Kids,20
Jet,Are You Gonna Be My Girl,20
Radiohead,High And Dry,20
Fun,We Are Young feat: Janelle Monáe,20
Radiohead,Fake Plastic Trees,20
Imagine Dragons,Demons,20
Dan Mangan,Post War Blues,20
Young The Giant,Cough Syrup,20
City and Colour,Wasted Love,20
Tegan And Sara,Walking With A Ghost,20
Dominick Fike,"3 Nights",20
Incubus,Drive,20
Sara Harmer,The Hideout,20
Tragically Hip,Poets,20
Eddie Vedder,Hard Sun,20
Serena Ryder,What i Wouldn't Do,20
The Lumineers,Ho Hey,20
Stone Temple Pilots,Sour Girl,19
Foster The People,Don't Stop (Color On The Walls),19
Tragically Hip,In View,19
Dan Mangan,Robots,19
Coldplay,Speed Of Sound,19
Finger Eleven,One Thing,19
Imagine Dragons,It's Time,19
Tegan and Sara,Back In Your Head,19
Moby,South Side,19
The Stills,I'm With You,19
Arcade Fire,Keep The Car Running,19
USS,Yin Yang,19
Sam Roberts,Don't Walk Away Eileen,19
Audioslave,Like A Stone,19
Limblifter,Ariel vs Lotus,19
Florence and the Machine,Ship To Wreck,19
Tegan and Sara,Closer,19
Modern Space,Pen To Paper,19
Mumford & Sons,Little Lion Man,19
The Zolas,Swooner,18
Green Day,Boulevard Of Broken Dreams,18
The Killers,Human,18
The Sheepdogs,I Don't Know,18
Coldplay,Paradise,18
Amy Winehouse,Rehab,18
Muse,Starlight,18
Stars,Ageless Beauty,18
Green Day,Holiday,18
City And Colour,Waiting,18
Sloan,Money City Maniacs,18
Banners,Shine A Light,18
Weezer,Island In The Sun,18
Stars,Hold On When You Get Love And Let Go When Y,18
Radiohead,Karma Police,18
The Rural Alberta Advantage,Tornado '87,18
The Shins,Simple Song,18
The New Pornographers,Moves,18
Young The Giant,My Body,18
Stars,Take Me To The Riot,18
Sam Roberts,If You Want It,18
Green Day,When I Come Around,18
Alabama Shakes,Hold On,18
Sam Roberts Band,We're All In This Together,17
Sam Roberts,Bridge To Nowhere,17
No Doubt,It's My Life,17
Sam Roberts,Hard Road,17
Whitehorse,Downtown,17
